student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
052130546126,15,other,private,high school,3.3,68.5,yes,>60 min,no,online videos,43,59.2,59.1,60.8,d
052130546127,14,other,private,high school,0.7,87.5,yes,15-30 min,no,mixed,44.1,34.4,28.4,45.2,e
052130546128,19,male,public,diploma,5.7,81.9,yes,15-30 min,no,textbook,93.9,59.6,86.4,81,c
052130546129,15,other,public,no formal,6.7,92.7,yes,30-60 min,yes,online videos,71.4,86.1,82.1,82.7,c
052130546130,16,female,private,diploma,3.9,55.6,no,<15 min,no,textbook,52.3,39.3,41.4,49.7,e
052130546131,14,male,private,no formal,1.8,77,yes,30-60 min,yes,coaching,55.1,45.5,74.8,47.8,e
052130546132,16,female,private,graduate,5.1,85.1,yes,15-30 min,yes,group study,78.4,76.1,74.9,68.9,d
052130546133,19,other,public,no formal,6,99.9,yes,15-30 min,yes,group study,97.5,76.6,100,94.7,b
052130546134,16,male,public,no formal,5.4,80.1,yes,>60 min,yes,online videos,78.3,83.5,88.1,82.7,c
052130546135,17,other,private,diploma,3.2,57,no,30-60 min,no,textbook,58.2,49.2,48.3,49.6,e
052130546136,15,other,private,high school,3.3,98.6,yes,<15 min,no,group study,58.1,93.6,46.1,58.5,d
052130546137,14,other,private,phd,4.6,72.9,yes,>60 min,yes,notes,47.9,54.7,58.8,60.3,d
052130546138,18,male,private,high school,2,74.4,no,15-30 min,yes,notes,34.6,14.9,55.6,36.2,f
052130546139,14,male,public,diploma,6.8,62.7,yes,<15 min,no,notes,57.5,68.4,74.3,75.2,c
052130546140,16,other,public,high school,1.3,90.7,no,30-60 min,yes,coaching,54.2,35.5,52.7,52.9,e
052130546141,15,female,private,phd,4.1,76.5,yes,15-30 min,yes,textbook,58.4,73,61,59.4,d
052130546142,14,female,private,post graduate,6.9,98.7,yes,>60 min,yes,coaching,88.3,100,100,100,a
052130546143,17,female,private,high school,4.5,76,yes,30-60 min,yes,textbook,97.1,70.9,63.2,73.6,c
052130546144,19,female,private,high school,6.2,59,yes,<15 min,yes,group study,69.1,85.4,79.2,80.3,c
052130546145,14,female,public,high school,2.3,88.5,yes,>60 min,no,online videos,63.8,62.2,65.4,60.4,d
052130546146,18,female,public,no formal,3.8,57.4,yes,<15 min,yes,notes,46.4,45.3,56.7,47.3,e
052130546147,17,female,public,high school,5.8,64.2,yes,15-30 min,no,online videos,68.6,61.3,75.2,74.3,c
052130546148,18,female,public,phd,7.2,97,yes,<15 min,yes,mixed,91.2,100,78.9,94.9,b
052130546149,14,female,public,diploma,5.3,98.8,yes,<15 min,no,mixed,69.1,78,86.8,76.4,c
052130546150,19,other,public,diploma,2.3,88.8,yes,30-60 min,yes,mixed,66,86.8,64.4,62.3,d
052130546151,14,female,public,high school,1.6,60.3,yes,>60 min,no,coaching,61.6,45.4,53.9,46.2,e
052130546152,19,other,private,high school,6.8,87.1,no,30-60 min,yes,online videos,100,91.3,81.7,86.8,b
052130546153,17,female,public,graduate,4.7,79.7,yes,<15 min,yes,coaching,82.6,78.2,91.1,76.3,c
052130546154,16,other,public,post graduate,1.9,72.3,yes,15-30 min,no,textbook,46.8,48.9,55.3,54,e
052130546155,14,female,private,graduate,4.1,72.3,no,30-60 min,yes,coaching,75.2,72.3,64.3,70.7,c
052130546156,17,female,public,graduate,1.4,72.7,no,30-60 min,no,group study,36.8,33.5,54.5,35.5,f
052130546157,14,male,private,high school,1.3,66.1,no,15-30 min,no,coaching,31.4,14.8,24.2,27.3,f
052130546158,17,male,public,phd,7.4,76.9,yes,15-30 min,yes,online videos,70,94.2,86.7,83.7,c
052130546159,18,other,private,post graduate,4.6,51.8,yes,<15 min,no,textbook,34.5,45.2,55.9,51,e
052130546160,15,male,private,phd,2.4,92.4,yes,<15 min,no,textbook,63.9,59.7,58.6,51.5,e
052130546161,15,male,private,post graduate,7.1,94.9,no,<15 min,yes,group study,91.3,92.3,79.8,92.3,b
052130546162,15,other,private,post graduate,8,69.5,yes,<15 min,no,group study,94.1,100,100,98,a
052130546163,15,other,private,no formal,7.1,97.4,yes,>60 min,no,online videos,94.6,94.3,99.4,92.7,b
052130546164,14,female,private,no formal,6.1,88.8,yes,30-60 min,yes,notes,77.7,100,100,92.4,b
052130546165,15,female,private,no formal,7.7,92.4,no,>60 min,no,notes,100,100,89.8,100,a
052130546166,17,female,private,diploma,2,94.6,yes,>60 min,no,coaching,32.9,46.1,44.5,45.5,e
052130546167,15,other,private,graduate,7.1,67,yes,<15 min,no,mixed,76.7,100,94,93.3,b
052130546168,18,female,private,no formal,3.2,90.6,yes,15-30 min,no,group study,70.3,58.4,59.9,57.4,d
052130546169,18,male,public,post graduate,0.7,57.3,yes,15-30 min,no,notes,60.8,35.9,51.8,32.6,f
052130546170,18,female,private,graduate,0.7,98.9,yes,30-60 min,yes,group study,40,70.8,63.4,51.1,e
052130546171,17,male,private,graduate,1.9,79.8,yes,30-60 min,no,coaching,49,42.6,36.2,44.6,e
052130546172,15,other,public,phd,6.3,84.7,yes,>60 min,no,mixed,100,100,100,92,b
052130546173,19,male,public,graduate,7.2,65.3,yes,15-30 min,no,online videos,73,95,77.1,89.9,b
052130546174,15,female,public,no formal,1.5,51.6,yes,30-60 min,yes,textbook,39.1,37.4,38.6,38,f
052130546175,16,male,public,post graduate,6.8,58.2,no,<15 min,yes,mixed,95.9,87.8,74.5,85.4,b
052130546176,16,other,private,phd,6.2,57.1,yes,<15 min,yes,group study,64.1,71.8,80.8,69.4,d
052130546177,18,female,public,no formal,0.9,72.1,yes,15-30 min,yes,notes,53.8,43.2,36,40.6,e
052130546178,17,male,public,graduate,6,64.6,yes,15-30 min,yes,group study,79.9,77.5,67.1,73.7,c
052130546179,18,other,private,diploma,0.8,97.2,yes,15-30 min,yes,coaching,38.4,50.8,57.5,49.1,e
052130546180,19,female,public,no formal,2.5,92.1,yes,<15 min,yes,group study,48.8,65.1,66.9,61.6,d
052130546181,16,female,private,high school,4.5,77,yes,<15 min,no,notes,63,79.5,65.2,69.5,d
052130546182,19,male,private,phd,7.3,92.6,yes,>60 min,yes,mixed,95.3,100,100,100,a
052130546183,15,male,public,diploma,1.3,79.3,yes,<15 min,no,coaching,37.4,43.3,36.9,36.9,f
052130546184,19,other,private,graduate,3.1,96,yes,>60 min,no,coaching,73.2,71.1,60.1,53.8,e
052130546185,15,female,public,post graduate,4.8,87.3,yes,30-60 min,no,textbook,71.2,73.5,72.1,76.6,c
052130546186,19,female,public,diploma,6.1,86.8,yes,<15 min,no,textbook,76,63.9,81.4,74.8,c
052130546187,16,other,private,phd,7.4,63.7,yes,>60 min,no,group study,97.8,80.8,77.2,79.8,c
052130546188,19,female,public,diploma,4,89.7,yes,30-60 min,no,notes,71.2,54.7,67.6,61.4,d
052130546189,14,female,public,phd,6.8,88.6,yes,30-60 min,yes,textbook,87.2,99.8,67.9,86.8,b
052130546190,16,other,public,no formal,5.1,54,yes,<15 min,no,coaching,69.7,45.4,67.5,72.2,c
052130546191,19,male,private,phd,2,52.9,yes,30-60 min,no,mixed,25,35.8,29.3,41,e
052130546192,14,female,public,no formal,4.8,94.1,no,<15 min,no,mixed,64.3,48.5,53.5,66.8,d
052130546193,15,other,private,post graduate,2.9,98.9,yes,15-30 min,yes,coaching,95.4,74.2,73.7,72.3,c
052130546194,14,male,public,graduate,5.8,80.2,yes,<15 min,yes,textbook,80.6,76.2,92.4,87.6,b
052130546195,15,male,public,graduate,2.6,58.5,no,>60 min,no,online videos,59.1,49,59.3,48.5,e
052130546196,16,female,private,phd,2.5,71.1,no,<15 min,no,group study,47.2,69.6,61.7,54.1,e
052130546197,17,male,public,graduate,7.6,51.1,yes,30-60 min,no,group study,82.9,73.6,64.7,74.6,c
052130546198,15,male,private,post graduate,7.3,91.1,yes,30-60 min,no,coaching,100,100,97.6,95.6,a
052130546199,14,male,public,post graduate,3.9,55.2,yes,15-30 min,no,textbook,47.1,63.3,52.4,52.4,e
052130546200,15,other,public,phd,6.2,66.8,yes,15-30 min,no,group study,73.1,88.5,70.7,79.5,c
052130546201,19,male,public,high school,7.9,78.1,yes,15-30 min,yes,online videos,100,82,95.1,99.1,a
052130546202,19,other,public,phd,1.2,84.9,yes,30-60 min,no,mixed,45.9,53,47.3,38.7,f
052130546203,15,female,private,graduate,5,95.4,yes,30-60 min,no,online videos,82.6,71,77.9,73.8,c
052130546204,15,other,private,no formal,2.4,71.1,yes,>60 min,no,coaching,55.4,61.2,44.7,55.1,d
052130546205,14,male,private,phd,6.5,59.6,yes,<15 min,yes,online videos,60.6,73.2,64.8,71.4,c
052130546206,19,other,public,post graduate,1.3,55.4,yes,>60 min,yes,online videos,28.7,21.7,31.2,29.6,f
052130546207,18,female,public,phd,6.4,82.9,no,15-30 min,no,textbook,77.6,79.2,67.6,88.5,b
052130546208,18,other,public,post graduate,2,56.4,yes,<15 min,yes,notes,48.5,65.9,36.3,42.9,e
052130546209,15,other,private,diploma,3.9,82.9,yes,>60 min,no,group study,51.2,51.4,65.7,61.9,d
052130546210,17,female,public,diploma,6.6,72.8,no,15-30 min,no,mixed,83.4,91.7,84,91.4,b
052130546211,14,other,private,high school,1,70.8,yes,30-60 min,no,coaching,31.5,52.1,36.7,33.3,f
052130546212,18,male,private,diploma,7.5,63,yes,>60 min,yes,mixed,94,75.2,58.1,80.4,c
052130546213,17,female,public,no formal,2.1,95.1,yes,30-60 min,no,mixed,34.2,61.3,52.8,46.4,e
052130546214,15,female,public,post graduate,4.3,85.8,yes,>60 min,yes,online videos,59.7,72.4,57.7,66.5,d
052130546215,18,other,private,post graduate,6,76.2,no,15-30 min,yes,mixed,75.9,95.5,86.7,81,c
052130546216,17,other,public,phd,1.4,71.2,yes,30-60 min,no,notes,35.8,49.4,43.8,31.5,f
052130546217,16,other,private,graduate,5.1,68,yes,<15 min,yes,group study,48.8,58.2,61.7,58,d
052130546218,15,other,private,phd,4.4,70,yes,15-30 min,yes,coaching,48.6,38.7,55.7,61,d
052130546219,14,other,private,high school,4.9,92.7,no,<15 min,yes,group study,68.1,55.9,89.2,76,c
052130546220,19,other,private,diploma,5.5,71.1,yes,15-30 min,no,group study,71.4,69.5,64,67.9,d
052130546221,15,female,private,post graduate,3.7,50.2,yes,<15 min,yes,group study,24.9,34.4,36.8,41.2,e
052130546222,15,male,private,post graduate,2.7,96.2,yes,15-30 min,no,coaching,75,61.5,59.5,64.6,d
052130546223,18,other,public,post graduate,1.9,79.6,yes,<15 min,no,coaching,50.9,52.5,39.7,43.7,e
052130546224,15,male,private,diploma,7.5,58.3,yes,15-30 min,no,notes,84.6,61.4,66.2,77.9,c
052130546225,16,male,public,no formal,3.5,56.3,yes,<15 min,yes,group study,52.6,44.8,38.9,48.4,e
052130546226,18,other,private,phd,2.6,68.8,yes,15-30 min,no,textbook,47.2,28.2,59.3,46.3,e
052130546227,17,male,private,diploma,0.9,80.6,yes,>60 min,yes,mixed,27.9,17.9,52.5,36.1,f
052130546228,17,male,public,graduate,6.1,97,yes,30-60 min,no,mixed,88,100,87,92.6,b
052130546229,14,female,public,no formal,4.5,52.7,no,<15 min,no,coaching,56.4,64.9,68.6,61.3,d
052130546230,16,female,public,phd,1.9,67.6,no,30-60 min,yes,textbook,18.3,15.6,33.4,33,f
052130546231,16,male,public,high school,7.2,62.9,yes,>60 min,no,notes,94.2,85.5,73.1,79.8,c
052130546232,17,female,public,phd,7.5,71.1,yes,30-60 min,yes,mixed,77.4,62,98.3,89.9,b
052130546233,14,male,private,post graduate,7.1,89.6,yes,15-30 min,yes,coaching,94.4,91.9,95.7,99.3,a
052130546234,14,male,public,high school,4.7,57.9,yes,>60 min,yes,coaching,53.8,69.8,67.9,57.1,d
052130546235,18,male,public,diploma,3.3,96.7,yes,>60 min,no,mixed,58.8,42.7,52.8,55.6,d
052130546236,18,other,public,phd,1.7,62.8,yes,>60 min,no,textbook,41.2,48.8,51.9,45.7,e
052130546237,18,female,public,graduate,3.3,87.6,no,15-30 min,no,coaching,58.5,71.2,63.2,65.8,d
052130546238,15,other,public,post graduate,5.1,82,yes,15-30 min,no,mixed,84.5,68.7,81.3,74.9,c
052130546239,19,male,private,graduate,2.2,77.4,yes,15-30 min,yes,coaching,83,45.4,38.3,50.3,e
052130546240,15,other,private,high school,4,92.2,yes,>60 min,yes,mixed,95.2,63.8,61.7,74,c
052130546241,17,other,private,no formal,4.8,80.4,yes,>60 min,yes,group study,71.9,79.9,79.2,71.1,c
052130546242,14,female,private,no formal,6,89.1,yes,<15 min,no,mixed,69.2,78.5,87.6,86,b
052130546243,19,other,private,diploma,1.2,79.5,yes,15-30 min,yes,online videos,33.9,44.4,47.4,51.3,e
052130546244,15,female,public,post graduate,7,86,yes,15-30 min,yes,mixed,94.5,74.9,87.9,84.9,c
052130546245,18,female,public,high school,3.9,52.4,no,>60 min,no,mixed,55.3,81.1,42.4,54.8,e
052130546246,15,other,private,high school,4.9,82.3,yes,<15 min,no,notes,79.5,94.2,88.6,77.9,c
052130546247,18,female,public,diploma,7.6,94.4,no,15-30 min,no,mixed,94.5,95.8,83.2,91.5,b
052130546248,16,female,public,high school,1.8,82.5,yes,>60 min,no,group study,48.9,58.1,55,55.8,d
052130546249,14,other,private,diploma,7.1,90.9,yes,30-60 min,no,mixed,88.9,100,86.9,89,b
052130546250,15,female,private,graduate,6.5,99.5,yes,15-30 min,yes,group study,100,89.9,100,97.2,a
052130546251,18,male,private,high school,8,57.8,yes,>60 min,yes,coaching,100,79.3,71.8,89.6,b
052130546252,15,other,private,no formal,3.4,84.5,yes,<15 min,no,mixed,78.6,73.7,46.3,62,d
052130546253,15,other,private,no formal,1.5,94.9,yes,15-30 min,no,notes,65.7,77.8,39.3,58.5,d
052130546254,17,male,public,diploma,0.6,51.4,yes,>60 min,yes,mixed,19.2,17.5,26.1,23.9,f
052130546255,15,other,public,high school,6.4,58.7,no,15-30 min,no,coaching,75.9,77.4,70.4,73.9,c
052130546256,14,male,public,post graduate,1.5,62.5,yes,>60 min,no,coaching,49.9,43.7,54.2,37.6,f
052130546257,17,male,private,no formal,2.8,94,yes,>60 min,yes,mixed,86.7,69.9,72.8,68,d
052130546258,18,other,private,no formal,7.9,98.9,yes,>60 min,no,coaching,100,100,85.3,100,a
052130546259,18,female,public,graduate,3.8,95.7,yes,15-30 min,yes,group study,72.5,76.5,75.3,77.7,c
052130546260,19,female,private,graduate,2.2,73.7,yes,15-30 min,yes,online videos,65.8,28.3,60.9,54.1,e
052130546261,14,female,public,post graduate,6.1,83.4,yes,30-60 min,no,textbook,75.9,81,81.2,81.8,c
052130546262,16,male,private,no formal,2.5,55.2,yes,>60 min,yes,notes,48.6,45.6,34.5,37.7,f
052130546263,15,other,public,post graduate,4.5,99,yes,30-60 min,no,mixed,97.5,89.8,79.2,84.5,c
052130546264,19,male,public,phd,1.7,97.2,yes,15-30 min,no,textbook,53.7,41.1,44.9,45.4,e
052130546265,17,other,public,graduate,4,79.8,yes,>60 min,no,mixed,49,64.9,44,54.7,e
052130546266,14,other,public,diploma,1.3,57.2,yes,<15 min,no,textbook,23.3,34.1,34.3,33.9,f
052130546267,18,male,public,diploma,6.3,97.4,no,<15 min,yes,notes,88.3,95.5,95.3,91.4,b
052130546268,14,female,public,post graduate,3.2,94.8,yes,<15 min,no,online videos,73.2,61.2,63.9,67.1,d
052130546269,15,male,private,no formal,2.9,99.5,yes,<15 min,no,group study,53.1,57.3,62.1,61.2,d
052130546270,18,female,private,post graduate,8,75.4,yes,<15 min,yes,online videos,82.2,100,100,100,a
052130546271,17,female,private,high school,6.7,67.4,yes,15-30 min,no,textbook,98.6,84.7,80.6,84.2,c
052130546272,18,male,public,phd,4.7,68.9,yes,30-60 min,no,notes,59.4,68.9,82.6,72.1,c
052130546273,17,other,public,no formal,7.6,74.9,yes,>60 min,no,textbook,100,93.1,75.8,98,a
052130546274,19,other,public,graduate,2.1,95.6,yes,30-60 min,yes,online videos,66.6,39.7,48.2,62.8,d
052130546275,17,male,public,diploma,4.8,56.4,yes,30-60 min,no,coaching,55,50.6,68,62.8,d
052130546276,14,other,private,diploma,7.5,82.4,no,30-60 min,no,mixed,83.2,83.6,93.3,84.9,c
052130546277,14,other,private,diploma,4.8,95.8,yes,>60 min,yes,online videos,86.6,69.6,66.9,70.9,c
052130546278,18,female,public,no formal,2.8,63.7,yes,30-60 min,no,group study,24.4,45.3,50.5,41.6,e
052130546279,14,other,public,phd,6.6,76.3,yes,>60 min,no,notes,94,95.7,76.6,83.1,c
052130546280,16,male,public,graduate,1.5,89.7,no,30-60 min,no,textbook,41.5,36.1,34.3,41.1,e
052130546281,14,other,public,graduate,1.6,75.7,no,<15 min,no,online videos,31.2,26.9,42.9,39.3,f
052130546282,15,other,private,graduate,6,76.4,yes,>60 min,yes,textbook,76.9,87.9,79.3,73.1,c
052130546283,17,female,private,graduate,1,88.3,yes,30-60 min,no,group study,44.7,53.5,49,49,e
052130546284,15,other,public,graduate,0.9,58.2,yes,15-30 min,yes,online videos,35.4,28.3,50.3,34,f
052130546285,16,other,public,diploma,3.3,85.7,yes,>60 min,no,mixed,74.9,49.4,73.6,67.1,d
052130546286,19,other,private,no formal,3.5,95.7,yes,15-30 min,yes,group study,65.2,80.4,30.6,56.6,d
052130546287,14,female,public,no formal,4,55.1,yes,<15 min,yes,textbook,53.8,55.7,58.7,58.1,d
052130546288,14,other,public,graduate,6.1,53,yes,>60 min,no,notes,68.1,64.2,66,60.2,d
052130546289,15,female,private,high school,4.8,54.4,yes,15-30 min,yes,notes,77.7,48.2,68.3,57.6,d
052130546290,18,female,private,diploma,5.9,86.8,yes,15-30 min,no,online videos,60,61,85.2,71.9,c
052130546291,16,male,public,graduate,0.9,69.6,yes,15-30 min,yes,notes,32.3,53,45.6,40.5,e
052130546292,17,male,public,graduate,2.9,73.2,no,<15 min,yes,textbook,32.4,42.6,48.7,47.2,e
052130546293,14,other,public,high school,7.7,86.4,no,>60 min,no,notes,100,92.3,100,98,a
052130546294,18,female,private,graduate,3.7,76.2,yes,15-30 min,yes,notes,51.5,51.8,53.9,51.4,e
052130546295,14,female,private,phd,2.2,80,yes,15-30 min,no,textbook,38,40.2,13.6,39.9,f
052130546296,18,other,private,diploma,7.9,92.5,yes,30-60 min,no,mixed,100,100,100,100,a
052130546297,14,male,public,no formal,3.6,72.6,yes,15-30 min,no,mixed,75.3,65,52,66.2,d
052130546298,19,male,private,graduate,4.1,93.7,yes,<15 min,yes,notes,67.2,71.2,86.3,65.1,d
052130546299,15,male,public,graduate,2.2,76.2,yes,15-30 min,yes,textbook,71,50.4,54.4,57.2,d
052130546300,15,male,private,diploma,5.4,70.1,yes,<15 min,no,notes,62.1,53.9,68.3,63.3,d
052130546301,16,female,private,graduate,2.1,63.1,yes,15-30 min,yes,textbook,23.7,26.4,43.1,35.7,f
052130546302,14,other,private,post graduate,5.1,86.5,yes,15-30 min,yes,coaching,89.3,66.9,83.2,74.4,c
052130546303,14,male,private,graduate,6.2,81.1,yes,<15 min,yes,notes,82.8,100,89.9,84.8,c
052130546304,17,female,public,post graduate,5.4,90.4,yes,15-30 min,yes,coaching,59.7,70.9,78.3,76.5,c
052130546305,15,male,private,no formal,1.2,77.3,no,<15 min,yes,mixed,9.5,33.8,64.2,39.4,f
052130546306,16,other,public,high school,1.1,93.3,yes,>60 min,no,online videos,23.4,45.9,51.1,38.5,f
052130546307,18,female,private,graduate,6.8,64.4,yes,15-30 min,yes,textbook,82.7,96.4,79.8,89.3,b
052130546308,14,male,public,high school,7.3,86.5,yes,30-60 min,yes,group study,85.6,74.6,83,85.6,b
052130546309,16,female,private,phd,1.5,69.7,yes,<15 min,yes,mixed,34.1,29,57.6,31.2,f
052130546310,15,female,public,post graduate,3.3,55.7,yes,>60 min,yes,coaching,26.3,16.7,18.2,41.7,e
052130546311,16,other,private,diploma,5.4,76.4,yes,<15 min,yes,online videos,64.7,73.3,64.6,68.1,d
052130546312,15,male,public,post graduate,6.8,61.6,yes,15-30 min,no,mixed,64.3,77.7,60.1,71,c
052130546313,14,other,public,phd,7.3,53.1,yes,30-60 min,no,coaching,79.2,81.8,66.8,75.4,c
052130546314,14,other,private,no formal,5.7,68.2,no,30-60 min,yes,group study,72.1,84.1,46.9,64,d
052130546315,19,male,public,graduate,1.6,98.9,yes,30-60 min,yes,mixed,62.2,51,52.7,46.4,e
052130546316,14,other,private,diploma,6.3,94.7,yes,30-60 min,yes,textbook,96.1,83.4,92.2,82.5,c
052130546317,18,other,public,post graduate,6.9,99,no,15-30 min,yes,notes,71.2,86.8,86.8,85,b
052130546318,19,female,private,high school,3.1,51.4,no,<15 min,no,mixed,38.7,31.2,36.9,37.2,f
052130546319,16,male,public,high school,4.2,57.6,no,>60 min,yes,group study,57.5,81.1,54.4,60.3,d
052130546320,15,female,public,post graduate,1.7,61.8,yes,<15 min,yes,textbook,42.1,61.7,54.5,43.8,e
052130546321,18,female,private,phd,2.8,86.8,yes,<15 min,yes,coaching,50.8,46.2,62.8,51.8,e
052130546322,19,male,private,no formal,7,98.9,yes,15-30 min,no,notes,100,88.1,100,99.7,a
052130546323,14,female,public,graduate,1.2,70.3,yes,15-30 min,no,coaching,42.8,36.6,23.3,35.9,f
052130546324,19,other,private,post graduate,6.2,79.2,yes,<15 min,no,notes,78.5,77.6,72.4,78.1,c
052130546325,19,female,public,no formal,1.2,54.4,yes,30-60 min,yes,group study,36.7,36,34.6,35.3,f
052130546326,14,other,private,graduate,2.7,81.5,no,30-60 min,no,coaching,48.4,62.7,68.5,60.6,d
052130546327,14,male,private,phd,4.9,95,yes,<15 min,no,textbook,85.3,61.8,76.1,79,c
052130546328,18,other,private,phd,0.5,83,yes,>60 min,no,online videos,34.9,35.1,44.4,37.5,f
052130546329,14,female,public,high school,5.6,82.7,yes,15-30 min,no,textbook,69.2,78.5,59.7,77.2,c
052130546330,17,male,public,phd,2.9,74.4,yes,15-30 min,no,group study,36.1,39,55.7,49.2,e
052130546331,14,other,private,diploma,6.1,72.5,yes,15-30 min,yes,mixed,100,96,77,83.7,c
052130546332,18,female,public,diploma,7.8,68.5,yes,<15 min,no,notes,89.9,89,83,94.9,b
052130546333,15,female,private,high school,3.6,91,no,>60 min,yes,group study,79.4,68,70.3,70.6,c
052130546334,14,male,private,post graduate,0.7,82.2,yes,<15 min,no,notes,49.3,63.2,52,46,e
052130546335,14,other,private,no formal,6.9,65,yes,>60 min,no,notes,100,73.1,77.4,89.6,b
052130546336,15,male,private,post graduate,2.6,75.9,yes,30-60 min,no,textbook,43.2,58.4,74.2,59.4,d
052130546337,17,male,public,no formal,1.6,55.8,yes,<15 min,no,notes,52.7,29.5,32.4,39.6,f
052130546338,14,male,private,phd,7.1,52.3,yes,15-30 min,yes,coaching,90.1,78.7,99.2,74.9,c
052130546339,18,female,public,high school,2.2,56.8,yes,>60 min,yes,mixed,34.6,49,33.5,44.4,e
052130546340,17,male,private,graduate,5,93.4,yes,>60 min,yes,online videos,93.4,86,76.7,85.6,b
052130546341,15,other,public,high school,2.4,62.9,yes,15-30 min,yes,notes,27.9,28.2,27.8,37.5,f
052130546342,19,male,private,no formal,5.8,98.2,yes,>60 min,no,online videos,74.1,68.3,76.9,77.4,c
052130546343,17,other,public,no formal,5.4,66.9,yes,30-60 min,no,online videos,62.5,66.8,84.5,72.6,c
052130546344,18,other,private,phd,4.3,70.5,no,>60 min,yes,notes,68.8,53.4,57.4,63.4,d
052130546345,15,other,private,no formal,4.7,90.6,yes,15-30 min,no,coaching,66.1,74,67.9,69.4,d
052130546346,18,male,private,no formal,2.2,61.2,no,30-60 min,no,online videos,38.9,33.5,33.7,39.2,f
052130546347,17,male,private,graduate,0.7,95.5,yes,30-60 min,no,coaching,28,39.8,44.1,38.4,f
052130546348,19,other,private,phd,6.5,82.7,yes,>60 min,yes,group study,97.7,83.2,91.2,88.7,b
052130546349,16,female,public,no formal,7.2,53.1,no,15-30 min,no,notes,81.7,96.5,100,84.2,c
052130546350,18,other,public,high school,6.3,97.8,yes,>60 min,no,online videos,84.6,93.3,86.9,83.6,c
052130546351,16,male,public,graduate,5.8,64.4,yes,<15 min,yes,online videos,65.1,69.9,75.7,70.8,c
052130546352,14,female,public,diploma,4,61.6,yes,15-30 min,no,notes,32,54.1,57.3,49.3,e
052130546353,14,male,public,no formal,4.9,94.9,yes,<15 min,yes,textbook,58.9,78,50.5,68.3,d
052130546354,19,female,public,phd,5.7,66.3,yes,30-60 min,yes,textbook,60.9,63.3,54.3,63.3,d
052130546355,18,male,private,diploma,0.7,86.1,yes,15-30 min,yes,mixed,36.3,30.8,42.2,38.1,f
052130546356,16,other,public,post graduate,3.7,51.7,yes,30-60 min,no,textbook,71.3,62.9,71.2,56.4,d
052130546357,18,female,private,diploma,2.2,96.1,yes,15-30 min,no,notes,68.2,51.5,49.3,52.8,e
052130546358,14,male,private,graduate,3.2,70.5,yes,30-60 min,no,mixed,64.3,41.2,55.6,57.6,d
052130546359,14,female,public,phd,6.1,58.9,yes,30-60 min,yes,mixed,93.3,69.3,69,73.6,c
052130546360,17,female,private,high school,3.2,99.1,yes,15-30 min,no,notes,58.4,75.2,66.2,63.3,d
052130546361,17,other,public,post graduate,6,87.1,yes,>60 min,yes,online videos,83,77.6,92.5,76.2,c
052130546362,19,female,public,high school,7.8,89.7,yes,<15 min,yes,textbook,95.4,74.4,87.7,91.9,b
052130546363,18,female,private,high school,7.4,75,yes,30-60 min,no,notes,96.4,85.4,100,92.1,b
052130546364,15,other,public,no formal,6.7,84.4,yes,>60 min,yes,mixed,74.5,79.6,62.8,83.9,c
052130546365,18,female,private,diploma,6.9,64.5,no,30-60 min,no,coaching,85.6,74.2,94.5,84.8,c
052130546366,16,other,private,graduate,3.5,75.9,yes,<15 min,yes,mixed,56.3,46.5,63.2,60.5,d
052130546367,18,other,public,graduate,6,69,yes,30-60 min,yes,coaching,68.1,58.8,77.1,79,c
052130546368,15,other,private,diploma,5.5,71.3,yes,15-30 min,yes,group study,81.3,74.8,84.9,76.2,c
052130546369,14,other,public,diploma,7.9,50.2,no,15-30 min,yes,coaching,65,85.8,82.1,82.2,c
052130546370,14,other,private,high school,4.8,90.5,yes,>60 min,yes,textbook,85.2,50.3,52.9,72.8,c
052130546371,19,female,public,phd,3.7,60.9,yes,15-30 min,no,group study,57.5,76.5,55.1,56.8,d
052130546372,14,female,public,diploma,6.8,73.7,yes,>60 min,yes,notes,81.4,82,92.7,92.8,b
052130546373,19,male,private,high school,6.1,82.9,yes,30-60 min,yes,mixed,80.6,87.3,81.2,83.9,c
052130546374,18,other,public,phd,1.4,51.7,no,>60 min,yes,group study,38.8,43.9,35.3,39,f
052130546375,14,other,public,graduate,5,67.1,yes,30-60 min,no,notes,72,47,57,61.3,d
052130546376,19,other,private,phd,4.9,63.2,yes,>60 min,yes,coaching,69.7,53.5,52.7,56.2,d
052130546377,14,other,public,diploma,5.2,56.6,yes,15-30 min,yes,coaching,64.9,76.4,59.5,66.7,d
052130546378,14,female,private,diploma,7.6,90.7,yes,<15 min,no,mixed,93.7,83.2,91.5,94.5,b
052130546379,17,male,public,post graduate,5,77.1,yes,>60 min,no,textbook,92.6,86.8,78.6,73.7,c
052130546380,15,other,private,phd,7,72.8,no,30-60 min,no,online videos,62,51.2,57.6,77.9,c
052130546381,15,other,private,post graduate,3.2,56.6,no,>60 min,yes,coaching,31.6,46,43.2,46.2,e
052130546382,15,other,private,diploma,0.9,75.7,yes,<15 min,yes,coaching,59.5,50.5,44.6,45.1,e
052130546383,17,female,private,graduate,3.3,63.4,yes,>60 min,yes,notes,45.3,42.4,47.7,47.4,e
